instance_folder,instance_id,noise_factor,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
j10,1,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 4, 15, 1, 2, 4, 6, 3, 1, 2, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]",,inf,inf,quantile_0.9,"[0, 4, 15, 1, 2, 4, 8, 14, 3, 9, 1, 0]",26.0
j10,1,2,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 5, 9, 2, 3, 5, 7, 8, 3, 5, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 22, 14, 24, 15, 8, 27]",0.025999784469604492,0.1750040054321289,quantile_0.9,"[0, 5, 9, 2, 3, 5, 8, 8, 3, 5, 2, 0]",27.0
j10,1,2,32.0,reactive_quantile_0.9,2,60,1,True,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 24, 14, 24, 15, 8, 29]",0.027993202209472656,0.13199996948242188,quantile_0.9,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]",31.0
j10,1,2,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 9, 14, 24, 15, 8, 26]",0.026010751724243164,0.2610130310058594,quantile_0.9,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]",26.0
j10,1,2,31.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 6, 3, 2, 1, 7, 10, 3, 6, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 24, 14, 24, 15, 8, 29]",0.029006242752075195,0.18099236488342285,quantile_0.9,"[0, 1, 6, 3, 2, 1, 8, 10, 3, 6, 2, 0]",27.0
j10,1,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 2, 6, 5, 1, 2, 4, 15, 3, 5, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]",,inf,inf,quantile_0.9,"[0, 2, 6, 5, 1, 2, 8, 15, 3, 5, 1, 0]",29.0
j10,1,2,27.0,reactive_quantile_0.9,2,60,1,True,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 12, 14, 24, 15, 8, 26]",0.025998830795288086,0.17800259590148926,quantile_0.9,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]",27.0
j10,1,2,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 9, 14, 24, 15, 8, 26]",0.026000022888183594,0.22900652885437012,quantile_0.9,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]",26.0
j10,1,2,28.0,reactive_quantile_0.9,2,60,1,True,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 23, 14, 24, 15, 8, 28]",0.02800154685974121,0.20601248741149902,quantile_0.9,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]",26.0
j10,1,2,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 4, 4, 1, 1, 6, 9, 1, 6, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 23, 14, 24, 15, 8, 28]",0.029011964797973633,0.26200437545776367,quantile_0.9,"[0, 2, 4, 4, 1, 1, 8, 9, 1, 6, 1, 0]",26.0
j10,3,2,45.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 9, 2, 14, 6, 1, 1, 2, 15, 8, 0]","[0, 20, 0, 22, 25, 11, 20, 22, 36, 30, 27, 41]","[0, 20, 0, 22, 25, 11, 20, 22, 36, 30, 27, 41]",0.030993223190307617,0.21300339698791504,quantile_0.9,"[0, 2, 9, 2, 14, 6, 1, 1, 2, 14, 8, 0]",37.0
